datetime_utc,fuel_price
2023-11-28,40.58
2023-11-29,37.13
2023-11-30,38.12
2023-12-01,40.98
2023-12-02,42.2
2023-12-03,42.02
2023-12-04,37.87
2023-12-05,36.42
2023-12-06,36.17
2023-12-07,37.5
2023-12-08,37.29
2023-12-09,35.11
2023-12-10,36.18
2023-12-11,33.56
2023-12-12,32.07
2023-12-13,32.87
2023-12-14,31.78
2023-12-15,30.76
2023-12-16,32.49
2023-12-17,34.49
2023-12-18,33.94
2023-12-19,30.81
2023-12-20,31.5
2023-12-21,31.31
2023-12-22,33.5
2023-12-23,32.26
2023-12-24,33.55
2023-12-25,33.81
2023-12-26,34.85
2023-12-27,33.26
2023-12-28,31.35
2023-12-29,31.59
2023-12-30,30.99
2023-12-31,31.18
2024-01-01,31.32
2024-01-02,30.11
2024-01-03,32.82
2024-01-04,32.77
2024-01-05,34.28
2024-01-06,34.68
2024-01-07,37.67
2024-01-08,32.37
2024-01-09,31.24
2024-01-10,30.85
2024-01-11,30.43
2024-01-12,31.09
2024-01-13,32.18
2024-01-14,32.01
2024-01-15,29.47
2024-01-16,28.51
2024-01-17,26.55
2024-01-18,27.46
2024-01-19,27.98
2024-01-20,27.84
2024-01-21,27.48
2024-01-22,27.48
2024-01-23,26.92
2024-01-24,27.94
2024-01-25,26.58
2024-01-26,26.94
2024-01-27,27.09
2024-01-28,28.02
2024-01-29,27.41
2024-01-30,28.71
2024-01-31,28.91
2024-02-01,27.63
2024-02-02,28.19
2024-02-03,28.31
2024-02-04,29.48
2024-02-05,27.68
2024-02-06,27.56
2024-02-07,27.27
2024-02-08,26.86
2024-02-09,26.44
2024-02-10,25.81
2024-02-11,25.62
2024-02-12,25.36
2024-02-13,25.15
2024-02-14,24.43
2024-02-15,24.45
2024-02-16,24.65
2024-02-17,24.51
2024-02-18,24.07
2024-02-19,23.3
2024-02-20,23.86
2024-02-21,23.78
2024-02-22,22.91
2024-02-23,22.72
2024-02-24,23.62
2024-02-25,23.39
2024-02-26,23.99
2024-02-27,24.4
2024-02-28,25.06
2024-02-29,24.45
2024-03-01,25.22
2024-03-02,24.72
2024-03-03,25.03
2024-03-04,26.52
2024-03-05,27.29
2024-03-06,26.01
2024-03-07,25.81
2024-03-08,26.28
2024-03-09,26.86
2024-03-10,26.75
2024-03-11,24.92
2024-03-12,24.76
2024-03-13,24.84
2024-03-14,25.71
2024-03-15,27.23
2024-03-16,27.74
2024-03-17,28.02
2024-03-18,28.65
2024-03-19,28.75
2024-03-20,27.89
2024-03-21,26.38
2024-03-22,27.57
2024-03-23,26.97
2024-03-24,27.24
2024-03-25,28.16
2024-03-26,27.12
2024-03-27,27.58
2024-03-28,27.31
2024-03-29,27.79
2024-03-30,28.64
2024-03-31,29.11
2024-04-01,29.67
2024-04-02,26.8
2024-04-03,26.0
2024-04-04,26.33
2024-04-05,26.83
2024-04-06,27.55
2024-04-07,27.01
2024-04-08,27.86
2024-04-09,27.61
2024-04-10,27.87
2024-04-11,29.62
2024-04-12,30.13
2024-04-13,29.54
2024-04-14,31.1
2024-04-15,31.05
2024-04-16,33.05
2024-04-17,30.7
2024-04-18,32.18
2024-04-19,30.5
2024-04-20,30.49
2024-04-21,30.61
2024-04-22,29.15
2024-04-23,28.65
2024-04-24,29.43
2024-04-25,30.27
2024-04-26,29.21
2024-04-27,29.67
2024-04-28,29.99
2024-04-29,28.26
2024-04-30,29.52
2024-05-01,29.12
2024-05-02,30.56
2024-05-03,30.63
2024-05-04,29.76
2024-05-05,30.41
2024-05-06,32.15
2024-05-07,30.72
2024-05-08,30.25
2024-05-09,30.77
2024-05-10,30.13
2024-05-11,29.35
2024-05-12,30.0
2024-05-13,29.23
2024-05-14,29.81
2024-05-15,29.85
2024-05-16,30.81
2024-05-17,30.98
2024-05-18,31.65
2024-05-19,31.61
2024-05-20,32.35
2024-05-21,33.46
2024-05-22,35.13
2024-05-23,35.88
2024-05-24,34.62
2024-05-25,34.3
2024-05-26,34.48
2024-05-27,35.74
2024-05-28,34.22
2024-05-29,34.35
2024-05-30,35.34
2024-05-31,34.5
2024-06-01,33.85
2024-06-02,34.85
2024-06-03,36.47
2024-06-04,34.8
2024-06-05,34.04
2024-06-06,33.96
2024-06-07,33.4
2024-06-08,33.78
2024-06-09,33.86
2024-06-10,35.02
2024-06-11,34.55
2024-06-12,35.26
2024-06-13,35.75
2024-06-14,35.5
2024-06-15,34.19
2024-06-16,34.77
2024-06-17,34.09
2024-06-18,34.22
2024-06-19,35.38
2024-06-20,34.49
2024-06-21,34.0
2024-06-22,34.38
2024-06-23,34.35
2024-06-24,34.25
2024-06-25,35.31
2024-06-26,34.37
2024-06-27,34.39
2024-06-28,34.06
2024-06-29,34.71
2024-06-30,34.2
2024-07-01,33.33
2024-07-02,33.33
2024-07-03,32.49
2024-07-04,32.95
2024-07-05,32.38
2024-07-06,32.58
2024-07-07,32.09
2024-07-08,31.66
2024-07-09,30.69
2024-07-10,30.38
2024-07-11,30.58
2024-07-12,31.45
2024-07-13,31.78
2024-07-14,31.46
2024-07-15,31.07
2024-07-16,32.74
2024-07-17,32.11
2024-07-18,32.65
2024-07-19,32.1
2024-07-20,30.7
2024-07-21,31.82
2024-07-22,31.88
2024-07-23,32.04
2024-07-24,33.17
2024-07-25,32.2
2024-07-26,32.93
2024-07-27,32.92
2024-07-28,34.23
2024-07-29,35.57
2024-07-30,35.41
2024-07-31,36.39
2024-08-01,37.64
2024-08-02,37.53
2024-08-03,37.03
2024-08-04,38.81
2024-08-05,36.18
2024-08-06,36.01
2024-08-07,37.96
2024-08-08,39.96
2024-08-09,39.35
2024-08-10,39.78
2024-08-11,41.0
2024-08-12,39.6
2024-08-13,39.16
2024-08-14,38.75
2024-08-15,39.22
2024-08-16,39.5
2024-08-17,39.39
2024-08-18,39.76
2024-08-19,39.91
2024-08-20,37.89
2024-08-21,37.45
2024-08-22,36.98
2024-08-23,36.65
2024-08-24,37.02
2024-08-25,37.47
2024-08-26,38.08
2024-08-27,39.15
2024-08-28,39.06
2024-08-29,39.22
2024-08-30,40.01
2024-08-31,41.36
2024-09-01,42.1
2024-09-02,39.64
2024-09-03,37.48
2024-09-04,36.3
2024-09-05,36.43
2024-09-06,36.32
2024-09-07,35.85
2024-09-08,36.14
2024-09-09,36.7
2024-09-10,34.75
2024-09-11,35.58
2024-09-12,35.14
2024-09-13,35.17
2024-09-14,36.58
2024-09-15,35.59
2024-09-16,34.52
2024-09-17,35.95
2024-09-18,35.82
2024-09-19,33.2
2024-09-20,35.14
2024-09-21,35.73
2024-09-22,35.99
2024-09-23,36.43
2024-09-24,35.81
2024-09-25,37.52
2024-09-26,38.07
2024-09-27,38.1
2024-09-28,38.28
2024-09-29,38.7
2024-09-30,38.94
2024-10-01,39.36
2024-10-02,38.64
2024-10-03,39.49
2024-10-04,40.74
2024-10-05,40.73
2024-10-06,41.24
2024-10-07,40.3
2024-10-08,38.59
2024-10-09,38.12
2024-10-10,39.79
2024-10-11,39.27
2024-10-12,38.95
2024-10-13,40.04
2024-10-14,39.93
2024-10-15,39.48
2024-10-16,38.92
2024-10-17,39.37
2024-10-18,38.87
2024-10-19,39.05
2024-10-20,39.41
2024-10-21,39.61
2024-10-22,40.42
2024-10-23,41.16
2024-10-24,42.07
2024-10-25,43.64
2024-10-26,44.63
2024-10-27,44.35
2024-10-28,42.8
2024-10-29,43.04
2024-10-30,41.72
2024-10-31,40.44
2024-11-01,38.9
2024-11-02,38.75
2024-11-03,40.47
2024-11-04,40.29
2024-11-05,40.5
2024-11-06,40.45
2024-11-07,41.31
2024-11-08,41.94
2024-11-09,42.14
2024-11-10,42.31
2024-11-11,43.61
2024-11-12,43.73
2024-11-13,43.86
2024-11-14,46.02
2024-11-15,46.05
2024-11-16,45.69
2024-11-17,47.07
2024-11-18,46.84
2024-11-19,45.39
2024-11-20,46.45
2024-11-21,48.4
2024-11-22,46.35
2024-11-23,46.08
2024-11-24,46.26
2024-11-25,47.88
2024-11-26,47.15
